filename,path,file_size,total_chunks
[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/[삼성전자] 사업보고서(일반법인) (2024.03.12).pdf,4531514,830
2024년 오픈액세스 활성화를 위한 대학도서관 실무자 세미나 자료집(저용량).pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/2024년 오픈액세스 활성화를 위한 대학도서관 실무자 세미나 자료집(저용량).pdf,7564739,152
AMORE_business_report_2022.pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/AMORE_business_report_2022.pdf,2306366,340
NAVER_business_report_2022.pdf,/home/duck/PycharmProjects/semantic_pdf_search/data/pdfs/NAVER_business_report_2022.pdf,1664476,432
